generation,fitness,num_ips,triggered_techniques,num_vulns
12,0.3171023340024359,26,1,3
12,0.26947945413065033,52,7,10
12,0.24748713162946556,34,6,6
12,0.2606809058184289,56,6,8
12,0.23138125395876674,31,5,7
12,0.39968001861942765,33,1,2
12,0.2760802298708167,53,6,6
12,0.4077708935209339,31,2,3
13,0.2590656910380663,59,4,7
13,0.27528772043761596,29,3,5
13,0.07495284058983095,7,0,1
13,0.17606633526455945,25,4,8
13,0.06261507583527458,5,0,1
13,0.219521196899778,34,7,10
13,0.26157758560290245,32,4,5
13,0.34008671820600256,26,5,4
13,0.207825981144805,34,5,6
13,0.32256147171519356,55,4,5
14,0.20817403431923542,24,5,7
14,0.4363042279315345,34,3,2
14,0.25954980436333047,55,6,9
14,0.38970639405708896,20,2,3
14,0.2522481409700612,56,6,10
14,0.40831197950184855,20,3,3
14,0.35038470106568126,33,2,3
14,0.25850058268339,65,4,9
14,0.06922610588054244,6,0,1
14,0.2626470788765119,57,8,8
15,0.21038434662246014,34,5,9
15,0.1849538052841242,24,6,9
15,0.2985124245230074,34,4,4
15,0.3001574259577442,20,3,4
15,0.27416868355150115,53,9,10
15,0.26654147089599783,61,8,13
15,0.2710026107421607,25,2,5
15,0.3103833271308287,34,1,4
15,0.27409490722833757,59,7,13
15,0.3665424596274142,29,1,2
16,0.22231283027117668,5,1,2
16,0.26677776788152213,61,8,11
16,0.24747802891903625,50,6,10
16,0.26158637675220403,61,7,11
16,0.2710125732663314,50,9,13
16,0.38884620742723297,30,3,3
16,0.22126329413089857,8,2,3
16,0.25523941954447504,62,4,10
16,0.21209620788306138,25,4,6
16,0.2614035802794407,54,8,13
17,0.1758565816553151,27,4,9
17,0.2758462719837003,56,9,12
17,0.20058484744454935,28,5,11
17,0.2554128155478659,31,3,5
17,0.3616947109921521,22,1,3
17,0.2554539265530848,52,6,11
17,0.390020763868298,29,2,3
17,0.2612426198136367,59,6,10
17,0.26258748126398385,53,8,9
17,0.05847106394171999,8,0,2
18,0.27171734184052587,50,9,10
18,0.1849538052841242,24,6,9
18,0.27425085089725315,54,9,13
18,0.2279322662633041,30,6,6
18,0.2532586712671329,58,6,11
18,0.26557617100090974,54,5,9
18,0.36129870194917635,33,5,4
18,0.26157360106938915,63,8,12
18,0.20486196814432256,20,5,7
18,0.19710272784733152,23,5,10
19,0.22547845449112952,33,7,12
19,0.34938863275117993,61,5,5
19,0.018068089957971656,9,0,3
19,0.35038470106568126,33,2,3
19,0.38786801155320616,50,4,4
19,0.26217633639950794,55,8,13
19,0.2693792838310731,23,4,5
19,0.27107615993267536,50,9,12
19,0.2758001592969095,65,6,7
19,0.42814937544988063,22,1,1
20,0.06298963976233493,9,0,2
20,0.296324083442515,10,2,1
20,0.2660804061043603,60,8,11
20,0.1938597705619967,21,5,8
20,0.1889539709653048,29,5,8
20,0.26151001440304517,63,8,13
20,0.1959010472336881,6,1,1
20,0.20498210854255688,25,6,9
20,0.3072296219156617,23,2,4
20,0.4043529537897498,23,3,3
21,0.2915626154350135,20,5,4
21,0.21739947396906545,30,5,7
21,0.4020954703951578,30,3,3
21,0.25637155026123276,51,6,9
21,0.2740077912250929,58,6,7
21,0.2780555713663032,31,3,5
21,0.2713723204332606,55,7,11
21,0.27025868104995887,57,6,7
21,0.25198237488025305,54,6,9
21,0.21273296843072637,30,5,8
22,0.2726622691260398,52,9,13
22,0.29547962730390565,29,3,4
22,0.24755419657844563,55,6,12
22,0.33308760478383015,59,4,5
22,0.35055450429354856,35,3,3
22,0.22538343183008874,35,7,8
22,0.2315913108982805,32,7,6
22,0.2726211728042448,26,2,5
22,0.3268530702696528,26,3,4
22,0.2771542919250619,24,3,5
23,0.21826378421807807,32,7,9
23,0.2402378021191678,28,5,6
23,0.06261507583527458,5,0,1
23,0.3771774197078352,32,1,3
23,0.21124887332180725,32,5,8
23,0.27352750164365064,53,9,12
23,0.22082303913808632,22,2,6
23,0.21023930669577606,30,3,7
23,0.29595310815161935,24,1,4
23,0.41421650788583714,31,2,2
24,0.2739638600644894,55,7,8
24,0.28230633681671885,65,9,11
24,0.36658681528970716,33,4,3
24,0.2183428647809628,24,3,5
24,0.2617858354127169,52,8,9
24,0.2543544090948568,57,6,8
24,0.21233942774553882,24,5,7
24,0.2614671669457847,54,8,12
24,0.28503383921490966,58,7,7
24,0.2803112420080988,62,9,11
